subject,grade,topic,question,correct_answer,choice_a,choice_b,choice_c,choice_d,choice_e
"Math","9","Cebir","3x + 5 = 20 denklemini sağlayan x değeri kaçtır?","a","5","6","7","8","10"
"Math","9","Geometri","Bir dik üçgenin dik kenarları 6 cm ve 8 cm ise hipotenüsü kaç cm'dir?","c","12","14","10","9","15"
"Math","9","Cebir","2(a + 3) - 4a ifadesinin sadeleştirilmiş hâli nedir?","d","2a + 6","6a - 2","-6a + 2","-2a + 6","-2a - 6"
"Math","9","Geometri","Yarıçapı 5 cm olan bir dairenin alanı kaç π cm²'dir?","a","25","10","15","20","50"
"Math","9","Cebir","|x - 3| = 5 denkleminin çözüm kümesi nedir?","e","{3, 5}","{2, 8}","{5, -5}","{3, -3}","{8, -2}"
"Math","9","Geometri","Çevresi 24 cm olan bir üçgenin iki kenarı 8 cm ve 10 cm ise üçüncü kenarı kaç cm'dir?","b","5","6","7","4","8"
"Math","9","Trigonometri","75° lik bir açının bütünler açısı kaç derecedir?","c","95°","15°","105°","25°","115°"
"Math","9","Cebir","x² - 5x + 6 ifadesinin çarpanlarına ayrılmış hâli nedir?","d","(x+2)(x+3)","(x-1)(x-6)","(x+1)(x-6)","(x-2)(x-3)","(x-5)(x+1)"
"Math","9","Olasılık","Bir zar atıldığında üst yüze çift sayı gelme olasılığı nedir?","b","1/3","1/2","1/6","2/3","3/4"
"Math","9","Cebir","2y + 8 = 4y - 6 denkleminin çözümü nedir?","e","5","-7","3","-5","7"
"Math","9","İstatistik","5, 7, 9, 11 sayılarının aritmetik ortalaması kaçtır?","c","7","9","8","10","6"
"Math","9","Geometri","Bir kenarı 3 cm olan küpün hacmi kaç cm³'tür?","a","27","9","18","81","6"
"Math","9","Cebir","10 ile 20 arasındaki asal sayıların adedi kaçtır?","d","3","5","6","4","2"
"Math","9","Koordinat Geometrisi","(2, 3) ve (4, 7) noktalarından geçen doğrunun eğimi kaçtır?","b","1","2","3","4","-2"
"Math","9","Cebir","3/5 = x/20 orantısında x kaçtır?","c","15","10","12","18","20"
"Math","9","Fonksiyonlar","f(x) = 2x + 3 fonksiyonu için f(4) değeri kaçtır?","d","10","12","5","11","15"
"Math","9","Cebir","2x - 4 > 10 eşitsizliğinin çözüm kümesi nedir?","e","x < 7","x > 3","x < 3","x > 14","x > 7"
"Math","9","Kümeler","A = {1, 3, 5} ve B = {2, 4, 6} kümeleri için A ∪ B kümesi nedir?","b","{1,3,5}","{1,2,3,4,5,6}","{2,4,6}","{1,2,3}","{5,6}"
"Math","9","Koordinat Geometrisi","Eğimi -2 olan ve (1,5) noktasından geçen doğrunun denklemi nedir?","a","y = -2x + 7","y = 2x + 3","y = -2x - 7","y = 2x - 5","y = -2x + 5"
"Math","9","Sayı Teorisi","√50 aşağıdakilerden hangisine eşittir?","c","2√5","10√2","5√2","5√5","2√10"
"Math","9","Oran-Orantı","15 işçi bir işi 20 günde bitiriyor. Aynı işi 30 işçi kaç günde bitirir?","c","5","8","10","12","15"
"Math","9","Denklemler","x + 2/3 = 5 ise x kaçtır?","b","4","13/3","5","14/3","4.5"
"Math","9","Geometri","Bir karenin alanı 64 cm² ise çevresi kaç cm'dir?","c","24","28","32","36","40"
